dtname,ipname,villname,vlgcd2011
Beed,Ambejogai,Yelda,560013
Pune,Purandhar,Sakurde,556492
Akola,Patur,Shirla,530396
Washim,Karanja,Kakadshivni,530861
Beed,Ambejogai,Selu Amba,560027
Yavatmal,Kalamb,Shelka Dhanora,561315
Washim,Karanja,Jaipur,530904
Beed,Ambejogai,Daithana Radi,560036
Pune,Indapur,Ghorpadwadi,557053
Akola,Barshitakli,Kherda Kh.,530573
Yavatmal,Kalamb,Kherda,561316
Satara,Koregaon,Bichukale,563637
Beed,Wadwani,Wharkarwadi,559834
Amravati,Warud,Sawanga,532486
Latur,Nilanga,Nadi Hattarga,560826
Latur,Ausa,Dautpur,560671
Pune,Indapur,Takrarwadi,556987
Washim,Karanja,Dhanj  Bk,530919
Beed,Dharur,Jaybhaychi Wadi,559851
Satara,Man,Parkhandi,563370
Amravati,Warud,Musalkhed,532420
Solapur,Solapur North,Bhagaiwadi,562150
Beed,Kaij,Palaskheda,559780
Solapur,Sangola,Yelmar Mangewadi,562557
Sangali,Khanapur,Jondhalkhindi,568524
Yavatmal,Umarkhed,Morchandi,543045
Yavatmal,Ralegaon,Vedshi,543650
Beed,Kaij,Kalam Amba,559773
Sangali,Jath,Navalwadi,568820
Yavatmal,Umarkhed,Yekamba,543056
Washim,Karanja,Janori,530855
Latur,Ausa,Ramegaon,560663
Beed,Kaij,Chandansawargaon,559752
Yavatmal,Ralegaon,Warna,543594
Sangali,Atpadi,Palaskhel,568571
Wardha,Arvi,BOTHALI,533808
Latur,Nilanga,Halgara,560808
Sangali,Jath,Belunki,568832
Sangali,Khanapur,Pare,568509
Sangali,Atpadi,Palaskhel,568571
Latur,Nilanga,Tagarkheda,560811
Amravati,Dharni,Ghuti,531455
Amravati,Warud,Porgavhan,532426
Amravati,Dharni,Sadrabardi,531377
Yavatmal,Ralegaon,Khairgaon (kasar),543659
Sangali,Atpadi,Kamkatrewadi,568618
Amravati,Dharni,Laktu,531383
Yavatmal,Kalamb,Wathawada,561343
Yavatmal,Ralegaon,Kochi,543678
Beed,Ambejogai,Kumbephal,560000
Amravati,Dharni,Sawalikheda,531402
Akola,Patur,Pangartati,530354
Beed,Ambejogai,Patoda,560008
Akola,Akot,Mirzapur,529781
Satara,Man,Bidal,563394
Solapur,Solapur North,Hiraj,562181
Amravati,Warud,Wathoda,532421
Sangali,Jath,Bagalwadi,568847
Solapur,Solapur North,Belati,562185
Beed,Ambejogai,Shepwadi,560018
Sangali,Khanapur,Balvadi (Kha),568541
Yavatmal,Kalamb,Rajur,542300
Solapur,Sangola,Narale,562615
Osmanabad,Bhum,Pathasangvi,561191
Satara,Koregaon,Bodhewadi (N.V.),563655
Osmanabad,Bhum,Walha,561192
Yavatmal,Kalamb,Khadki,542307
Satara,Khatav,Jakhangaon,563504
Latur,Nilanga,Halgara,560808
Satara,Koregaon,Rui,563669
Latur,Nilanga,Halgara,560808
Akola,Akot,Jitapur Pr. Rupagad,529705
Satara,Man,Anubhulewadi (N.V.),563383
Osmanabad,Paranda,Kumbhephal,561109
Solapur,Sangola,Wani Chinchol,562602
Satara,Khatav,Bhosare,563511
Sangali,Jath,Maithal,568871
Satara,Khatav,Jaygaon,563516
Satara,Koregaon,Anbatwadi,563623
Latur,Nilanga,Anandwadi (gaur),560732
Satara,Koregaon,Bodhewadi (N.V.),563685
Latur,Nilanga,Anandwadi (gaur),560732
Akola,Barshitakli,Hatola,530537
Beed,Ambejogai,Shripatrayachiwadi,559995
Latur,Nilanga,Anandwadi (gaur),560732
Sangali,Khanapur,Sangole,568519
Aurangabad,Fulambari,Dongargaon Kawad,548725
Amravati,Warud,Gavhankund,532365
Pune,Purandhar,Waghapur,556461
Satara,Koregaon,Ramusmachi,563687
Satara,Koregaon,Jaygaon,563719
Pune,Purandhar,Pokhar,556457
Osmanabad,Paranda,Bodakha,561083
Aurangabad,Fulambari,Waghola,548745
Amravati,Warud,Tembhurkheda,532367
Satara,Man,Kiraksal,563429
Sangali,Atpadi,Sherewadi,568575
Latur,Ausa,Ashiv,560694
Beed,Wadwani,Amla,559831
Satara,Khatav,Yelmarwadi,563551
Pune,Indapur,Nirgude,556995
Akola,Akot,Umara,529722
Satara,Koregaon,Velu,563722
Aurangabad,Khuldabad,Borwadi,549001
Akola,Barshitakli,Kanheri,530463
Akola,Patur,Charmoli,530386
Aurangabad,Khuldabad,Golegaon,549006
Akola,Barshitakli,Sarav,530464
Satara,Koregaon,Nhavi bk,563726
Amravati,Warud,Amdapur,532445
Satara,Koregaon,Pawarwadi,563727
Solapur,Solapur North,Raleras,562165
Beed,Kaij,Kashidwadi,559725
Satara,Koregaon,Nagzari,563743
Aurangabad,Khuldabad,Khirdi,548964
Beed,Ambejogai,Dongar Pimpla,560019
Beed,Ambejogai,Khapartong,560075
Akola,Patur,Jambharun,530401
Pune,Indapur,Shetphalgadhe,556984
Osmanabad,Bhum,Hiwara,561221
Wardha,Arvi,KAKADDARA,533818
