dtname,ipname,villname,vlgcd2011,wc_edition
Nasik,Chandvad,Urdhul,550493,3
Yavatmal,Kalamb,Pimpalgaon Dola,561306,3
Hingoli,Kalmnuri,Ramwadi,546127,3
Beed,Kaij,Anandgaon,559784,3
Sangali,Jath,Avandhi,568844,3
Sangali,Tasgaon,Panmalewadi,568645,3
Ahmadnagar,Pathardi,Kaudgaon,557949,3
Solapur,Madha,Londhewadi,562002,3
Satara,Khatav,Gopuj,563530,3
Buldana,Sangrampur,Salwan,528294,3
Nasik,Sinnar,Wadzire,551152,3
Ahmadnagar,Pathardi,Jogewadi,558056,3
Washim,Karanja,Vilegaon,530896,3
Wardha,Karanja,Nandora,533621,3
Akola,Akot,Shahapur Pr. Rupagad,529703,3
Nandurbar,Nandurbar,Dhamdai,525668,3
Osmanabad,Osmanabad,Kawaldara Tanda,561477,3
Amravati,Morshi,Shirajgaon,532342,3
Satara,Man,Dhamani,563435,3
Amravati,Chikhaldara,Makhala,531539,3
Akola,Akot,Dangarkhed,529748,3
Aurangabad,Khuldabad,Gadana,549000,3
Yavatmal,Darwha,Bothgavan,542636,3
Yavatmal,Darwha,Tapona,542627,3
Wardha,Seloo,GAIMUKH,533913,3
Yavatmal,Ghatanji,Kumbhari,543343,3
Solapur,Solapur North,Wadala,562158,3
Solapur,Madha,Bhend,561973,3
Ahmadnagar,Karjat,Diksal,558534,3
Buldana,Jalgaon-Jamod,Wadgaon,528208,3
Nagpur,Narkhed,Gaimukh,534815,3
Sangali,Jath,Mokashawadi,568849,3
Ahmadnagar,Karjat,Kumbhefal,558583,3
Solapur,Mangalvedhe,Asabewadi,562694,3
Wardha,Deoli,TALNI(BHAGWAT),534240,3
Buldana,Sangrampur,Kakoda,528362,3
Sangali,Kavathe Mahankal,Kerewadi,568775,3
Aurangabad,Fulambari,Wawana,548671,3
Beed,Ashti,Pimpalgaon Dani,558821,3
Aurangabad,Vaijapur,Palkhed,549125,3
Wardha,Seloo,KHADKA,534004,3
Beed,Ashti,Anandwadi,558833,3
Wardha,Arvi,TEMBHARI,533814,3
Amravati,Nandgaon Khandeshwar,Pimpalgaon (Bainai),533105,3
Solapur,Barshi,Khadkoni,562011,3
Aurangabad,Fulambari,Nidhona,548675,3
Parbhani,Jintur,Sawargaon,546555,3
Latur,Nilanga,Rajewadi,560806,3
Beed,Parli,Bhilegaon,559917,3
Latur,Nilanga,Sangaraddiwadi,560804,3
Buldana,Jalgaon-Jamod,Wadgaon  Patan,528208,3
Washim,Mangrulpir,Borwha bk.,530753,3
Yavatmal,Kalamb,Narsapur,542227,3
Osmanabad,Osmanabad,Darphal,561446,3
Latur,Ausa,Yekambiwadi,560677,3
Latur,Deoni,Nagtirthawadi,560890,3
Aurangabad,Khuldabad,Mahamadpur,548985,3
Yavatmal,Yavatmal,Shiwani Bk.,542433,3
Nanded,Loha,Kalambar Kh.,545238,3
Wardha,Deoli,FATTEPUR,534248,3
Amravati,Warud,Pimpalkhuta,532376,3
Ahmadnagar,Nagar,Manjar Sumbha,558072,3
Satara,Man,Naravane,563432,3
Parbhani,Jintur,Jamb kh,546579,3
Solapur,Karmala,Shelgaon (K),561857,3
Beed,Kaij,Depewadgaon,559779,3
Solapur,Karmala,Sarapdoh,561859,3
Nanded,Bhokar,Hadoli,544888,3
Buldana,Motala,Sindkhed,528658,3
Akola,Barshitakli,Lohgadtanda (N.V.),530452,3
Jalgaon,Amalner,Nagaon Kh.,527462,3
Sangali,Khanapur,Renavi,568528,3
Sangali,Atpadi,Autewadi,568620,3
Satara,Khatav,Kalewadi,563469,3
Sangali,Atpadi,Autewadi,568620,3
Hingoli,Kalmnuri,Jaroda,546194,3
Pune,Indapur,Lamjewadi,556994,3
Ahmadnagar,Parner,Nandur Pathar,558288,3
Pune,Baramati,Sawantwadi,556901,3
Jalgaon,Amalner,Javakhede,527524,3
Amravati,Nandgaon Khandeshwar,Mokhad,533065,3
